epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,149.388,0.58436,0.38441,0.96755,0.98522,1,0.995,0.76831,0.89898,0.332,1.13061,0.000272375,0.000272375,0.000272375
160,150.299,0.51386,0.32771,0.88775,0.98446,1,0.995,0.76341,0.90937,0.34335,1.14645,0.000266187,0.000266187,0.000266187
161,151.216,0.5227,0.33488,0.89506,0.98446,1,0.995,0.76341,0.90937,0.34335,1.14645,0.00026,0.00026,0.00026
162,152.134,0.51224,0.34154,0.93229,0.98627,1,0.995,0.76775,0.93896,0.35408,1.15495,0.000253812,0.000253812,0.000253812
163,153.056,0.52489,0.34369,0.88507,0.98604,1,0.995,0.76561,0.94739,0.35807,1.15144,0.000247625,0.000247625,0.000247625
164,153.971,0.51386,0.33246,0.91372,0.9858,1,0.995,0.77667,0.94062,0.35689,1.14047,0.000241438,0.000241438,0.000241438
165,154.886,0.51245,0.34114,0.89784,0.9858,1,0.995,0.77667,0.94062,0.35689,1.14047,0.00023525,0.00023525,0.00023525
166,155.809,0.47904,0.34002,0.88362,0.98557,1,0.995,0.77027,0.92726,0.36492,1.13664,0.000229063,0.000229063,0.000229063
167,156.729,0.47892,0.31562,0.88098,0.98452,1,0.995,0.78244,0.91322,0.35727,1.13567,0.000222875,0.000222875,0.000222875
168,157.646,0.50701,0.36026,0.89788,0.98344,1,0.995,0.78317,0.91757,0.36698,1.13024,0.000216688,0.000216688,0.000216688
169,158.565,0.48072,0.35071,0.89147,0.98344,1,0.995,0.78317,0.91757,0.36698,1.13024,0.0002105,0.0002105,0.0002105
170,159.482,0.51419,0.33236,0.92625,0.98209,1,0.995,0.7786,0.9148,0.35884,1.12463,0.000204313,0.000204313,0.000204313
171,160.405,0.50785,0.32283,0.89401,0.98206,1,0.995,0.77613,0.90674,0.36581,1.12396,0.000198125,0.000198125,0.000198125
172,161.326,0.50884,0.3416,0.89073,0.9822,1,0.995,0.77652,0.90284,0.36042,1.11476,0.000191938,0.000191938,0.000191938
173,162.244,0.49073,0.33536,0.88052,0.9822,1,0.995,0.77652,0.90284,0.36042,1.11476,0.00018575,0.00018575,0.00018575
174,163.161,0.4992,0.35702,0.90965,0.98273,1,0.995,0.78317,0.89526,0.36432,1.09932,0.000179563,0.000179563,0.000179563
175,164.088,0.50583,0.33982,0.90441,0.98326,1,0.995,0.7868,0.88945,0.35344,1.08691,0.000173375,0.000173375,0.000173375
176,165.012,0.46264,0.34047,0.88664,0.9838,1,0.995,0.79536,0.87848,0.34243,1.08347,0.000167188,0.000167188,0.000167188
177,165.931,0.50859,0.32395,0.90575,0.9838,1,0.995,0.79536,0.87848,0.34243,1.08347,0.000161,0.000161,0.000161
178,166.863,0.46037,0.32777,0.87886,0.9856,1,0.995,0.79661,0.88003,0.34582,1.08658,0.000154812,0.000154812,0.000154812
179,167.791,0.49586,0.32593,0.88354,0.98687,1,0.995,0.79533,0.87808,0.35354,1.08475,0.000148625,0.000148625,0.000148625
180,168.713,0.50631,0.33239,0.90784,0.98768,1,0.995,0.78349,0.88384,0.34749,1.08981,0.000142437,0.000142437,0.000142437
181,169.635,0.4419,0.31168,0.86734,0.98768,1,0.995,0.78349,0.88384,0.34749,1.08981,0.00013625,0.00013625,0.00013625
182,170.552,0.48757,0.34193,0.91271,0.98823,1,0.995,0.78556,0.90434,0.36171,1.09678,0.000130062,0.000130062,0.000130062
183,171.476,0.46649,0.33823,0.89245,0.98802,1,0.995,0.77709,0.91654,0.36355,1.10266,0.000123875,0.000123875,0.000123875
184,172.402,0.45921,0.31964,0.89133,0.98746,1,0.995,0.78037,0.92672,0.37436,1.10706,0.000117687,0.000117687,0.000117687
